Size,Naive,Better,BLAS
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
52,0.010000,0.000000,0.000000
52,0.000000,0.020000,0.000000
52,0.020000,0.000000,0.000000
52,0.000000,0.020000,0.000000
52,0.000000,0.000000,0.020000
52,0.000000,0.030000,0.000000
52,0.010000,0.000000,0.000000
52,0.030000,0.000000,0.000000
52,0.000000,0.000000,0.020000
52,0.000000,0.010000,0.010000
102,0.100000,0.040000,0.040000
102,0.060000,0.030000,0.010000
102,0.040000,0.030000,0.030000
102,0.040000,0.030000,0.020000
102,0.050000,0.030000,0.020000
102,0.030000,0.030000,0.030000
102,0.030000,0.050000,0.010000
102,0.030000,0.040000,0.010000
102,0.040000,0.030000,0.030000
102,0.030000,0.030000,0.040000
152,0.100000,0.110000,0.050000
152,0.100000,0.100000,0.080000
152,0.120000,0.140000,0.070000
152,0.110000,0.110000,0.060000
152,0.100000,0.120000,0.060000
152,0.100000,0.120000,0.060000
152,0.120000,0.160000,0.050000
152,0.110000,0.110000,0.080000
152,0.110000,0.110000,0.060000
152,0.110000,0.100000,0.050000
202,0.280000,0.250000,0.150000
202,0.260000,0.250000,0.170000
202,0.250000,0.260000,0.150000
202,0.280000,0.250000,0.180000
202,0.280000,0.260000,0.160000
202,0.270000,0.290000,0.160000
202,0.250000,0.250000,0.130000
202,0.240000,0.290000,0.150000
202,0.270000,0.260000,0.200000
202,0.260000,0.300000,0.170000
252,0.540000,0.510000,0.300000
252,0.550000,0.480000,0.300000
252,0.550000,0.480000,0.280000
252,0.540000,0.540000,0.300000
252,0.510000,0.510000,0.290000
252,0.510000,0.480000,0.320000
252,0.500000,0.500000,0.320000
252,0.540000,0.500000,0.300000
252,0.510000,0.490000,0.300000
252,0.570000,0.520000,0.280000
302,0.860000,0.990000,0.520000
302,0.920000,0.840000,0.520000
302,1.020000,0.860000,0.510000
302,0.850000,0.850000,0.520000
302,0.830000,0.870000,0.530000
302,0.830000,0.860000,0.520000
302,0.900000,0.870000,0.520000
302,0.900000,0.850000,0.590000
302,1.000000,0.900000,0.590000
302,0.990000,0.910000,0.500000
352,1.160000,1.030000,0.650000
352,1.160000,1.010000,0.660000
352,1.180000,1.040000,0.610000
352,1.100000,1.050000,0.680000
352,1.140000,1.020000,0.600000
352,1.140000,1.000000,0.590000
352,1.130000,1.040000,0.590000
352,1.140000,1.020000,0.590000
352,1.110000,1.000000,0.600000
352,1.090000,1.140000,0.600000
402,1.860000,1.620000,0.950000
402,1.920000,1.570000,0.880000
402,1.850000,1.540000,0.930000
402,2.110000,1.530000,0.910000
402,1.930000,1.530000,0.870000
402,1.920000,1.690000,0.930000
402,1.800000,1.540000,0.920000
402,2.190000,1.820000,0.940000
402,1.860000,1.640000,0.910000
402,1.880000,1.520000,0.940000
452,2.790000,2.280000,1.280000
452,2.880000,2.240000,1.250000
452,2.600000,2.180000,1.240000
452,2.890000,2.270000,1.270000
452,2.150000,1.460000,0.930000
452,2.920000,2.300000,1.310000
452,3.210000,2.250000,1.290000
452,2.760000,2.170000,1.290000
452,2.800000,3.010000,1.800000
452,3.980000,2.940000,1.720000
502,4.790000,4.090000,2.450000
502,4.660000,4.060000,2.370000
502,4.830000,4.080000,2.540000
502,5.450000,3.380000,2.130000
502,4.860000,4.330000,2.410000
502,4.120000,3.460000,1.870000
502,3.990000,3.160000,1.760000
502,3.640000,3.050000,1.780000
502,3.610000,3.070000,1.850000
502,3.800000,3.240000,1.760000
